[INFO ] [2023-05-08 21:51:57,680] Register - Step 01: Navigate to REGISTER page
[INFO ] [2023-05-08 21:51:59,571] Register - Step 02: Click on Male radio button
[INFO ] [2023-05-08 21:52:00,244] Register - Step 03: Input to firstname textbox
[INFO ] [2023-05-08 21:52:00,816] Register - Step 04: Input to lastname textbox
[INFO ] [2023-05-08 21:52:01,019] Register - Step 05: Select birthday day
[INFO ] [2023-05-08 21:52:01,205] Register - Step 06: Select birthday month
[INFO ] [2023-05-08 21:52:01,311] Register - Step 07: Select birthday year
[INFO ] [2023-05-08 21:52:02,218] Register - Step 08: Input to email address textbox
[INFO ] [2023-05-08 21:52:02,430] Register - Step 09: Input to company textbox
[INFO ] [2023-05-08 21:52:02,816] Register - Step 10: Input to password textbox
[INFO ] [2023-05-08 21:52:03,163] Register - Step 11: Input to confirm password textbox
[INFO ] [2023-05-08 21:52:03,535] Register - Step 12: Click to REGISTER button
[INFO ] [2023-05-08 21:52:04,982] Register - Step 13: Verify if register completed
[INFO ] [2023-05-08 21:52:05,038]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:05,038] Register - Step 14: Return to HOME page
[INFO ] [2023-05-08 21:52:05,571] Register - Step 15: Return to HOME page successfully
[INFO ] [2023-05-08 21:52:05,578]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:05,589] Login - Step 01: Click to LOGIN link
[INFO ] [2023-05-08 21:52:06,252] Login - Step 02: Input Email and Password
[INFO ] [2023-05-08 21:52:06,499] Login - Step 03: Click to LOGIN button
[INFO ] [2023-05-08 21:52:07,516] Login - Step 04: Check if Login successfully
[INFO ] [2023-05-08 21:52:07,541]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:07,990] Login - Step 05: Check if Male radio button is selected
[INFO ] [2023-05-08 21:52:08,207]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-05-08 21:52:08,208] Login - Step 06: Check if firstname match registered info
[INFO ] [2023-05-08 21:52:08,256]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:08,256] Login - Step 07: Check if last match registered info
[INFO ] [2023-05-08 21:52:08,298]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-05-08 21:52:08,298] Login - Step 08: Check if date of birth match registered info
[INFO ] [2023-05-08 21:52:08,634]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:08,714]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-05-08 21:52:09,824]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:09,824] Login - Step 09: Check if email address match registered info
[INFO ] [2023-05-08 21:52:09,868]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-08 21:52:09,869] Login - Step 10: Check if company name match registered info
[INFO ] [2023-05-08 21:52:09,904]  -------------------------- PASSED -------------------------- 
